iter	MAE	RMSE
0	54155.08847	73006.96544
1	53011.37661	71606.11192
2	51906.69198	70163.52272
3	50809.00924	68771.65889
4	49805.31397	67451.65947
5	48718.72883	66159.71336
6	47740.50277	64949.05429
7	46787.43091	63746.56217
8	45803.00753	62588.21263
9	44874.44584	61441.13719
10	44009.45484	60320.40266
11	43075.23809	59189.42823
12	42212.32032	58148.53151
13	41359.32615	57042.91735
14	40645.48242	56121.87404
15	39851.10963	55159.95798
16	39080.74652	54142.37688
17	38400.88762	53253.9176
18	37683.7649	52335.43335
19	36947.41576	51426.27565
20	36274.47415	50594.24005
21	35639.28447	49782.92374
22	34906.56092	48889.83074
23	34206.93474	48080.54913
24	33600.17613	47329.95558
25	32977.58021	46614.77773
26	32384.43197	45933.16232
27	31885.01771	45260.07026
28	31331.54421	44573.373
29	30843.9476	43966.27734
30	30334.56326	43338.94693
31	29838.23581	42705.12741
32	29371.83801	42094.73941
33	28989.77348	41583.74668
34	28503.35816	40972.68514
35	28064.53932	40426.34809
36	27650.5522	39892.77145
37	27280.24614	39364.37129
38	26851.1227	38805.81074
39	26502.04532	38353.90571
40	26120.85152	37866.15607
41	25786.39938	37432.50563
42	25438.89613	36964.88089
43	25100.72602	36508.95196
44	24780.65685	36106.90023
45	24453.99308	35654.33063
46	24142.00087	35241.24436
47	23839.46065	34833.59692
48	23529.33457	34476.76554
49	23231.32333	34107.06846
50	22959.75586	33771.01435
51	22692.17046	33404.99211
52	22434.17562	33066.679
53	22171.23918	32686.08777
54	21985.09713	32409.43058
55	21759.10065	32097.93951
56	21565.00576	31831.2214
57	21382.14897	31540.97001
58	21168.82995	31250.50682
59	20983.33095	30974.6643
60	20794.03634	30697.26593
61	20597.99647	30427.98663
62	20411.89538	30163.87742
63	20235.60106	29903.1545
64	20046.2689	29619.2553
65	19884.91909	29391.23947
66	19726.92889	29158.62579
67	19569.09881	28909.01247
68	19437.28441	28694.90174
69	19298.08907	28483.91175
70	19170.73173	28262.07602
71	19033.16866	28051.31892
72	18894.31312	27851.01881
73	18787.85262	27688.48889
74	18645.77994	27487.85657
75	18528.00367	27313.56677
76	18402.63693	27106.46987
77	18299.53936	26919.78567
78	18192.59784	26743.42324
79	18077.6464	26564.59211
80	17968.84385	26392.80154
81	17868.7205	26222.87588
82	17776.64119	26055.85967
83	17687.31899	25890.82325
84	17565.78652	25711.63397
85	17466.92804	25548.94712
86	17392.2218	25432.11756
87	17315.00183	25286.12927
88	17237.0945	25167.04403
89	17156.11324	25043.29506
90	17053.99726	24902.54032
91	16973.75161	24754.06404
92	16899.42277	24635.70008
93	16832.84259	24522.50143
94	16755.40597	24388.20273
95	16677.17169	24263.75743
96	16619.47744	24161.84036
97	16543.49203	24041.1516
98	16468.43472	23903.90255
99	16415.22156	23812.96219
100	16331.38417	23692.98353
101	16285.18748	23609.64103
102	16205.98678	23499.86071
103	16128.48381	23379.69166
104	16077.77518	23283.00381
105	16011.20855	23178.81334
106	15946.01015	23071.34205
107	15888.68909	22997.89095
108	15839.42752	22908.95153
109	15769.74407	22803.0538
110	15716.48455	22705.395
111	15656.68472	22605.63939
112	15609.791	22517.3961
113	15561.37701	22439.77788
114	15506.79068	22364.21823
115	15450.94855	22280.93851
116	15394.28038	22188.9034
117	15351.41929	22117.08583
118	15300.68218	22042.25225
119	15245.45054	21949.16161
120	15198.52623	21869.31636
121	15157.6572	21800.15005
122	15103.60457	21718.3976
123	15058.67757	21650.1728
124	15019.45671	21577.72876
125	14991.81316	21524.21642
126	14947.09922	21443.58157
127	14906.98135	21376.28506
128	14881.08699	21328.72209
129	14835.2563	21268.91155
130	14790.76731	21194.29001
131	14751.49955	21133.08239
132	14704.39877	21065.98918
133	14666.74478	21005.58353
134	14616.68232	20945.61715
135	14582.19737	20892.87206
136	14534.11322	20835.33708
137	14497.51066	20766.81527
138	14471.28052	20727.05921
139	14425.07647	20648.72815
