iter	Passed	Remaining
0	4	8123
1	8	8057
2	11	7870
3	15	7639
4	19	7668
5	23	7643
6	26	7583
7	30	7640
8	34	7692
9	38	7680
10	42	7648
11	46	7638
12	49	7604
13	53	7591
14	57	7569
15	60	7538
16	64	7473
17	67	7457
18	71	7418
19	74	7393
20	78	7373
21	81	7353
22	85	7350
23	89	7347
24	92	7334
25	96	7319
26	100	7346
27	103	7309
28	107	7274
29	110	7224
30	113	7189
31	116	7181
32	119	7141
33	122	7107
34	126	7077
35	129	7050
36	132	7024
37	135	6996
38	138	6972
39	141	6944
40	144	6926
41	148	6915
42	151	6888
43	154	6864
44	157	6840
45	160	6832
46	163	6810
47	166	6790
48	170	6770
49	173	6767
50	176	6751
51	179	6732
52	182	6714
53	185	6696
54	189	6686
55	192	6669
56	195	6654
57	198	6637
58	201	6623
59	204	6616
60	207	6602
61	210	6590
62	213	6579
63	217	6569
64	220	6555
65	223	6542
66	226	6528
67	232	6614
68	235	6598
69	238	6582
70	241	6573
71	244	6557
72	248	6553
73	251	6546
74	254	6529
75	257	6519
76	260	6510
77	263	6495
78	266	6487
79	269	6475
80	272	6463
81	275	6452
82	279	6446
83	281	6431
84	285	6422
85	288	6416
86	291	6409
87	294	6407
88	297	6397
89	300	6385
90	303	6370
91	307	6367
92	310	6359
93	313	6348
94	316	6339
95	319	6329
96	322	6329
97	325	6318
98	328	6309
99	331	6298
100	334	6296
101	337	6288
102	340	6278
103	343	6268
104	347	6266
105	350	6256
106	353	6246
107	356	6240
108	359	6230
109	362	6225
110	365	6218
111	368	6211
112	371	6204
113	374	6196
114	377	6189
115	380	6182
116	383	6175
117	386	6167
118	389	6158
119	392	6153
120	395	6146
121	398	6138
122	401	6131
123	405	6127
124	408	6120
125	411	6114
126	414	6107
127	417	6100
128	420	6097
129	423	6093
130	426	6085
131	429	6078
132	432	6073
133	435	6070
134	439	6065
135	442	6061
136	445	6054
137	448	6051
138	451	6047
139	454	6042
140	457	6035
141	460	6030
142	464	6028
143	467	6020
144	470	6015
145	473	6007
146	476	6003
147	479	5997
148	482	5991
149	485	5985
150	488	5978
151	491	5974
152	494	5967
153	497	5961
154	500	5958
155	503	5953
156	506	5948
157	509	5943
158	512	5939
159	516	5934
160	519	5930
161	522	5923
162	525	5919
163	528	5914
164	531	5908
165	534	5904
166	537	5900
167	540	5892
168	543	5888
169	546	5884
170	549	5880
171	552	5875
172	555	5870
173	559	5867
174	562	5864
175	565	5860
176	568	5852
177	571	5846
178	574	5844
179	577	5841
180	580	5835
181	583	5830
182	586	5825
183	589	5822
184	592	5816
185	595	5812
186	598	5806
187	602	5802
188	605	5800
189	608	5794
190	611	5788
191	614	5783
192	617	5778
193	620	5778
194	623	5775
195	626	5769
196	629	5764
197	633	5763
198	636	5757
199	639	5752
200	642	5749
201	645	5744
202	648	5744
203	651	5739
204	654	5734
205	657	5729
206	661	5726
207	664	5722
208	667	5715
209	669	5710
210	673	5706
211	676	5702
212	679	5698
213	682	5694
214	685	5688
215	688	5684
216	691	5680
217	694	5675
218	697	5671
219	700	5667
220	703	5664
221	706	5660
222	709	5656
223	712	5650
224	715	5647
225	718	5643
226	721	5639
227	725	5637
228	728	5632
229	731	5629
230	734	5624
231	737	5619
232	740	5615
233	743	5612
234	746	5607
235	749	5604
236	752	5600
237	756	5599
238	759	5595
239	762	5590
240	765	5585
241	768	5582
242	771	5579
243	774	5575
244	777	5569
245	780	5565
246	783	5561
247	786	5559
248	789	5554
249	792	5549
250	795	5545
251	799	5544
252	802	5539
253	805	5535
254	808	5530
255	811	5526
256	814	5526
257	817	5522
258	820	5517
259	823	5513
260	826	5509
261	830	5506
262	833	5503
263	836	5498
264	839	5493
265	842	5491
266	845	5487
267	848	5482
268	851	5478
269	854	5474
270	857	5472
271	860	5469
272	864	5466
273	867	5462
274	870	5458
275	873	5456
276	876	5452
277	879	5448
278	882	5444
279	885	5441
280	889	5438
281	892	5434
282	894	5429
283	897	5424
284	901	5423
285	904	5418
286	907	5414
287	910	5411
288	913	5407
289	916	5404
290	919	5401
291	922	5397
292	925	5393
293	929	5391
294	932	5388
295	935	5385
296	939	5384
297	942	5384
298	946	5382
299	949	5381
300	952	5379
301	956	5376
302	960	5380
303	964	5379
304	967	5376
305	970	5373
306	974	5373
307	978	5373
308	981	5370
309	984	5369
310	988	5366
311	991	5366
312	996	5371
313	1001	5377
314	1007	5388
315	1011	5392
316	1016	5396
317	1020	5395
318	1025	5402
319	1030	5409
320	1034	5408
321	1038	5413
322	1043	5417
323	1047	5418
324	1050	5415
325	1054	5415
326	1058	5413
327	1061	5411
328	1065	5411
329	1068	5407
330	1071	5405
331	1075	5403
332	1078	5400
333	1082	5399
334	1085	5397
335	1089	5393
336	1092	5391
337	1096	5390
338	1099	5388
339	1103	5386
340	1106	5383
341	1109	5380
342	1113	5380
343	1116	5376
344	1120	5374
345	1123	5371
346	1126	5368
347	1130	5367
348	1134	5364
349	1137	5361
350	1140	5358
351	1144	5356
352	1147	5353
353	1151	5352
354	1154	5348
355	1157	5345
356	1160	5342
357	1164	5339
358	1167	5337
359	1170	5333
360	1174	5332
361	1177	5329
362	1190	5368
363	1193	5365
364	1197	5363
365	1200	5361
366	1204	5358
367	1207	5355
368	1211	5353
369	1214	5350
370	1218	5348
371	1221	5345
372	1224	5342
373	1228	5341
374	1232	5339
375	1235	5337
376	1238	5333
377	1242	5331
378	1246	5329
379	1249	5328
380	1253	5325
381	1256	5322
382	1260	5321
383	1264	5320
384	1267	5317
385	1271	5316
386	1275	5316
387	1279	5317
388	1283	5314
389	1286	5311
390	1289	5308
391	1293	5305
392	1297	5305
393	1300	5302
394	1304	5299
395	1307	5296
396	1311	5294
397	1314	5291
398	1318	5288
399	1321	5285
400	1325	5283
401	1328	5281
402	1332	5278
403	1335	5276
404	1338	5273
405	1342	5270
406	1346	5269
407	1349	5267
408	1353	5266
409	1357	5262
410	1361	5262
411	1364	5259
412	1367	5255
413	1371	5254
414	1375	5252
415	1379	5251
416	1383	5251
417	1387	5249
418	1391	5251
419	1395	5249
420	1399	5247
421	1402	5243
422	1405	5241
423	1409	5239
424	1413	5238
425	1417	5235
426	1421	5235
427	1424	5233
428	1428	5231
429	1432	5228
430	1435	5226
431	1439	5224
432	1443	5222
433	1446	5220
434	1450	5217
435	1454	5216
436	1458	5216
437	1463	5218
438	1467	5218
439	1471	5218
440	1475	5217
441	1481	5222
442	1485	5222
443	1489	5221
444	1493	5218
445	1496	5215
446	1500	5213
447	1504	5211
448	1507	5208
449	1511	5205
450	1514	5203
451	1518	5201
452	1522	5198
453	1525	5196
454	1529	5193
455	1532	5190
456	1536	5188
457	1540	5185
458	1543	5182
459	1547	5179
460	1550	5176
461	1554	5173
462	1557	5171
463	1561	5169
464	1565	5169
465	1569	5166
466	1573	5164
467	1576	5162
468	1580	5159
469	1583	5156
470	1587	5153
471	1593	5157
472	1597	5156
473	1600	5154
474	1604	5151
475	1607	5148
476	1611	5144
477	1615	5144
478	1619	5141
479	1622	5139
480	1626	5136
481	1630	5135
482	1634	5132
483	1637	5130
484	1641	5126
485	1644	5124
486	1648	5122
487	1652	5119
488	1655	5116
489	1659	5114
490	1662	5110
491	1666	5108
492	1670	5105
493	1673	5101
494	1677	5098
495	1680	5096
496	1684	5094
497	1687	5090
498	1691	5088
499	1695	5085
500	1699	5084
501	1702	5080
502	1706	5077
503	1709	5074
504	1713	5072
505	1717	5070
506	1720	5066
507	1723	5062
508	1727	5059
509	1731	5057
510	1734	5053
511	1737	5050
512	1741	5047
513	1744	5044
514	1748	5041
515	1751	5038
516	1755	5035
517	1759	5032
518	1762	5029
519	1765	5025
520	1769	5022
521	1772	5019
522	1776	5016
523	1779	5012
524	1782	5008
525	1785	5004
526	1789	5001
527	1792	4998
528	1796	4994
529	1799	4990
530	1802	4986
531	1806	4984
532	1809	4980
533	1812	4976
534	1816	4973
535	1819	4970
536	1823	4967
537	1826	4964
538	1830	4960
539	1833	4957
540	1837	4955
541	1840	4951
542	1844	4949
543	1848	4946
544	1851	4943
545	1865	4967
546	1868	4963
547	1872	4961
548	1875	4957
549	1879	4954
550	1882	4951
551	1886	4948
552	1890	4946
553	1893	4942
554	1897	4939
555	1900	4936
556	1904	4932
557	1907	4928
558	1910	4925
559	1914	4921
560	1917	4918
561	1920	4914
562	1924	4911
563	1927	4908
564	1931	4904
565	1934	4900
566	1937	4897
567	1941	4894
568	1944	4891
569	1948	4887
570	1951	4884
571	1955	4881
572	1959	4879
573	1962	4875
574	1966	4873
575	1970	4870
576	1973	4867
577	1977	4865
578	1981	4863
579	1985	4860
580	1988	4856
581	1992	4853
582	1995	4851
583	2000	4849
584	2003	4845
585	2007	4842
586	2010	4839
587	2014	4836
588	2017	4833
589	2021	4830
590	2024	4827
591	2028	4823
592	2032	4821
593	2035	4818
594	2039	4814
595	2042	4811
596	2046	4810
597	2050	4807
598	2054	4805
599	2057	4800
600	2061	4798
601	2065	4796
602	2069	4795
603	2074	4794
604	2078	4792
605	2082	4789
606	2085	4786
607	2089	4783
608	2093	4781
609	2096	4777
610	2100	4774
611	2103	4771
612	2107	4768
613	2110	4764
614	2114	4761
615	2118	4758
616	2121	4756
617	2125	4752
618	2129	4750
619	2132	4747
620	2136	4745
621	2140	4741
622	2144	4739
623	2147	4736
624	2152	4735
625	2156	4732
626	2160	4730
627	2163	4726
628	2167	4723
629	2170	4720
630	2174	4717
631	2178	4714
632	2181	4711
633	2185	4707
634	2188	4704
635	2192	4702
636	2195	4698
637	2199	4695
638	2202	4691
639	2206	4688
640	2210	4685
641	2215	4687
642	2219	4683
643	2222	4680
644	2226	4677
645	2229	4673
646	2232	4669
647	2236	4666
648	2240	4663
649	2243	4659
650	2246	4655
651	2250	4652
652	2253	4649
653	2257	4646
654	2260	4642
655	2264	4638
656	2267	4634
657	2270	4631
658	2274	4627
659	2277	4624
660	2280	4620
661	2284	4617
662	2288	4614
663	2292	4611
664	2295	4608
665	2299	4605
666	2302	4601
667	2306	4598
668	2309	4595
669	2313	4592
670	2317	4589
671	2320	4585
672	2323	4582
673	2327	4578
674	2330	4575
675	2334	4571
676	2337	4568
677	2341	4565
678	2344	4562
679	2348	4559
680	2352	4556
681	2355	4553
682	2359	4549
683	2362	4545
684	2365	4541
685	2369	4539
686	2372	4535
687	2376	4531
688	2379	4527
689	2383	4525
690	2387	4522
691	2390	4518
692	2393	4515
693	2397	4512
694	2401	4508
695	2404	4505
696	2407	4501
697	2410	4496
698	2414	4493
699	2417	4490
700	2421	4487
701	2424	4483
702	2428	4480
703	2432	4477
704	2435	4473
705	2438	4470
706	2442	4467
707	2446	4465
708	2450	4461
709	2453	4458
710	2457	4454
711	2460	4451
712	2464	4448
713	2467	4444
714	2471	4440
715	2474	4437
716	2478	4434
717	2481	4431
718	2485	4427
719	2488	4423
720	2491	4420
721	2495	4416
722	2498	4413
723	2501	4409
724	2505	4406
725	2508	4402
726	2512	4398
727	2515	4394
728	2518	4390
729	2521	4387
730	2525	4384
731	2528	4380
732	2531	4376
733	2535	4372
734	2538	4368
735	2541	4365
736	2545	4362
737	2548	4358
738	2552	4354
739	2555	4351
740	2558	4347
741	2562	4343
742	2565	4339
743	2568	4336
744	2572	4332
745	2575	4329
746	2578	4325
747	2582	4322
748	2585	4319
749	2589	4316
750	2593	4312
751	2596	4309
752	2600	4306
753	2603	4302
754	2607	4299
755	2610	4296
756	2614	4292
757	2617	4289
758	2621	4285
759	2624	4282
760	2627	4278
761	2631	4275
762	2635	4272
763	2638	4268
764	2642	4265
765	2645	4262
766	2649	4258
767	2652	4254
768	2655	4251
769	2659	4247
770	2662	4244
771	2666	4241
772	2669	4237
773	2672	4233
774	2676	4230
775	2679	4226
776	2683	4223
777	2686	4219
778	2690	4217
779	2694	4214
780	2698	4211
781	2701	4208
782	2705	4204
783	2708	4200
784	2711	4197
785	2715	4193
786	2718	4190
787	2722	4186
788	2726	4184
789	2730	4181
790	2734	4179
791	2738	4176
792	2742	4173
793	2746	4171
794	2749	4168
795	2753	4164
796	2757	4161
797	2760	4158
798	2764	4155
799	2768	4152
800	2772	4149
801	2775	4145
802	2779	4142
803	2783	4140
804	2786	4137
805	2790	4133
806	2794	4130
807	2798	4127
808	2801	4124
809	2805	4121
810	2809	4118
811	2812	4115
812	2816	4112
813	2820	4109
814	2824	4106
815	2827	4103
816	2831	4100
817	2835	4097
818	2838	4093
819	2842	4090
820	2846	4087
821	2849	4084
822	2853	4080
823	2857	4077
824	2860	4074
825	2864	4071
826	2867	4067
827	2871	4063
828	2875	4062
829	2880	4060
830	2884	4057
831	2888	4054
832	2892	4051
833	2895	4048
834	2899	4045
835	2902	4041
836	2906	4038
837	2910	4035
838	2914	4032
839	2917	4029
840	2921	4025
841	2924	4022
842	2928	4019
843	2931	4015
844	2935	4012
845	2938	4008
846	2942	4005
847	2946	4002
848	2949	3998
849	2952	3995
850	2956	3991
851	2960	3988
852	2963	3984
853	2966	3981
854	2970	3977
855	2973	3974
856	2977	3970
857	2980	3967
858	2984	3964
859	2987	3960
860	2991	3957
861	2995	3954
862	2998	3950
863	3002	3947
864	3006	3944
865	3009	3940
866	3013	3937
867	3016	3933
868	3019	3930
869	3023	3927
870	3027	3923
871	3030	3920
872	3034	3916
873	3037	3913
874	3041	3909
875	3044	3906
876	3048	3903
877	3051	3899
878	3054	3895
879	3058	3892
880	3061	3888
881	3064	3885
882	3068	3881
883	3071	3878
884	3075	3874
885	3078	3871
886	3082	3867
887	3085	3863
888	3089	3860
889	3092	3856
890	3095	3853
891	3099	3850
892	3102	3846
893	3106	3842
894	3109	3839
895	3113	3835
896	3116	3832
897	3120	3829
898	3123	3825
899	3127	3821
900	3130	3818
901	3133	3814
902	3137	3811
903	3140	3807
904	3144	3804
905	3147	3800
906	3150	3797
907	3154	3793
908	3157	3789
909	3161	3786
910	3164	3782
911	3168	3779
912	3171	3776
913	3174	3772
914	3178	3768
915	3181	3765
916	3185	3761
917	3188	3758
918	3191	3754
919	3195	3751
920	3199	3748
921	3202	3744
922	3206	3741
923	3209	3737
924	3213	3734
925	3216	3730
926	3220	3727
927	3223	3724
928	3227	3720
929	3232	3718
930	3235	3715
931	3239	3711
932	3242	3708
933	3247	3706
934	3250	3702
935	3253	3698
936	3257	3695
937	3265	3697
938	3269	3693
939	3272	3690
940	3276	3687
941	3282	3686
942	3285	3683
943	3289	3679
944	3294	3677
945	3305	3683
946	3310	3681
947	3320	3685
948	3324	3681
949	3329	3679
950	3332	3676
951	3336	3673
952	3342	3672
953	3349	3672
954	3353	3669
955	3356	3665
956	3359	3661
957	3363	3658
958	3367	3655
959	3370	3651
960	3374	3648
961	3378	3645
962	3381	3641
963	3385	3638
964	3389	3635
965	3393	3631
966	3396	3628
967	3400	3624
968	3403	3621
969	3406	3617
970	3410	3614
971	3413	3610
972	3417	3606
973	3420	3603
974	3424	3599
975	3427	3596
976	3430	3592
977	3434	3588
978	3437	3585
979	3441	3581
980	3444	3578
981	3448	3574
982	3451	3571
983	3455	3568
984	3459	3564
985	3462	3561
986	3466	3557
987	3469	3554
988	3473	3550
989	3476	3547
990	3480	3543
991	3483	3539
992	3487	3536
993	3490	3532
994	3494	3529
995	3497	3525
996	3501	3522
997	3504	3518
998	3508	3515
999	3511	3511
1000	3515	3508
1001	3518	3504
1002	3522	3501
1003	3525	3497
1004	3529	3494
1005	3533	3491
1006	3536	3487
1007	3540	3484
1008	3544	3481
1009	3548	3477
1010	3551	3474
1011	3555	3471
1012	3559	3467
1013	3562	3464
1014	3566	3461
1015	3570	3458
1016	3574	3454
1017	3578	3451
1018	3581	3448
1019	3585	3444
1020	3589	3441
1021	3593	3438
1022	3596	3435
1023	3600	3431
1024	3604	3428
1025	3607	3424
1026	3611	3421
1027	3614	3417
1028	3618	3414
1029	3622	3411
1030	3625	3407
1031	3629	3404
1032	3633	3400
1033	3636	3397
1034	3640	3393
1035	3643	3390
1036	3650	3389
1037	3653	3385
1038	3656	3381
1039	3659	3378
1040	3663	3374
1041	3667	3371
1042	3670	3367
1043	3674	3364
1044	3677	3360
1045	3681	3357
1046	3685	3354
1047	3688	3350
1048	3691	3346
1049	3695	3343
1050	3699	3340
1051	3702	3336
1052	3706	3333
1053	3709	3329
1054	3713	3326
1055	3717	3323
1056	3720	3319
1057	3724	3315
1058	3727	3312
1059	3731	3309
1060	3735	3305
1061	3738	3302
1062	3742	3298
1063	3755	3303
1064	3759	3300
1065	3762	3296
1066	3765	3292
1067	3769	3289
1068	3772	3285
1069	3776	3282
1070	3779	3278
1071	3782	3274
1072	3785	3270
1073	3788	3266
1074	3792	3263
1075	3795	3259
1076	3798	3255
1077	3801	3251
1078	3804	3247
